external_id,name,active,code_labor,description,rata_labor,unidad_medida,cantidad_minima,cantidad_maxima,equivalencia_tiempo,observacion
Labor_257,E04 - TRATAMIENTO DE SEMILLA,true,E04,TRATAMIENTO DE SEMILLA,1.87,,0,0,0,
Labor_258,E040 - REPARTO DE AGUA A TRABAJADORES,true,E040,REPARTO DE AGUA A TRABAJADORES,1.87,,0,0,0,
Labor_259,E041 - RESIEMBRA,true,E041,RESIEMBRA,1.87,,0,0,0,
Labor_260,E042 - RIEGO DE AGUA CAMINOS,true,E042,RIEGO DE AGUA CAMINOS,1.87,,0,0,0,
Labor_261,E043 - RIEGO POR ASPERSION,true,E043,RIEGO POR ASPERSION,1.87,,0,0,0,
Labor_262,E044 - RIEGO POR GRAVEDAD,true,E044,RIEGO POR GRAVEDAD,1.87,,0,0,0,
Labor_263,E046 - SERENO DE EQUIPO,true,E046,SERENO DE EQUIPO,1.87,,0,0,0,
Labor_264,E048 - TOMADOR DE TIEMPO,true,E048,TOMADOR DE TIEMPO,1.87,,0,0,0,
Labor_265,E049 - TRANSPORTE DE TUBERIAS,true,E049,TRANSPORTE DE TUBERIAS,1.87,,0,0,0,
Labor_266,E05 - ACARREO DE AZUCAR CRISTAL,true,E05,ACARREO DE AZUCAR CRISTAL,1.87,,0,0,0,
Labor_267,E050 - VIGILANCIAS DE FINCAS,true,E050,VIGILANCIAS DE FINCAS,1.87,,0,0,0,
Labor_268,E051 - LIBERACION DE COTESIAS,true,E051,LIBERACION DE COTESIAS,1.87,,0,0,0,
Labor_269,E06 - ACARREO DE AZUCAR MORENA,true,E06,ACARREO DE AZUCAR MORENA,1.87,,0,0,0,
Labor_270,E064 - DESPACHDORES,true,E064,DESPACHDORES,1.87,,0,0,0,
Labor_271,E069 - OTRAS LABORES,true,E069,OTRAS LABORES,1.87,,0,0,0,
Labor_272,E07 - ACARREO DE AZUCAR IMPORTADA,true,E07,ACARREO DE AZUCAR IMPORTADA,1.87,,0,0,0,
Labor_273,E070 - SEGUNDA LABOR,true,E070,SEGUNDA LABOR,1.87,,0,0,0,
Labor_274,E08 - TRANSPORTE DE CACHAZA,true,E08,TRANSPORTE DE CACHAZA,1.87,,0,0,0,
Labor_275,E09 - BOTAR DESECHO,true,E09,BOTAR DESECHO,1.87,,0,0,0,
Labor_276,E10 - TRANSPORTE DE MELAZA,true,E10,TRANSPORTE DE MELAZA,1.87,,0,0,0,
Labor_277,E11 - TRANSPORTE DE RIPIO,true,E11,TRANSPORTE DE RIPIO,1.87,,0,0,0,
Labor_278,E12 - TRANSPORTE DE TIERRA,true,E12,TRANSPORTE DE TIERRA,1.87,,0,0,0,
Labor_279,E13 - ALCE DE CAÑA,true,E13,ALCE DE CAÑA,1.87,,0,0,0,
Labor_280,E15 - ALCE DE BAGAZO,true,E15,ALCE DE BAGAZO,1.87,,0,0,0,
Labor_281,E16 - ALCE MATERIALES Y PIEZAS,true,E16,ALCE MATERIALES Y PIEZAS,1.87,,0,0,0,
Labor_282,E19 - ENCALADO,true,E19,ENCALADO,1.87,,0,0,0,
Labor_283,E20 - APORQUE,true,E20,APORQUE,1.87,,0,0,0,
Labor_284,E21 - ARADURA,true,E21,ARADURA,1.87,,0,0,0,
Labor_285,E22 - AUXILIO DE EQUIPO,true,E22,AUXILIO DE EQUIPO,1.87,,0,0,0,
Labor_286,E23 - ALCE Y DESCARGA SEMILLA,true,E23,ALCE Y DESCARGA SEMILLA,1.87,,0,0,0,
Labor_287,E24 - APLICACION DE ABONO,true,E24,APLICACION DE ABONO,1.87,,0,0,0,
Labor_288,E25 - BOTANDO BAGAZO,true,E25,BOTANDO BAGAZO,1.87,,0,0,0,
